user_id,timestamp,category,count
user_0,2010-01-01,food,2
user_0,2010-01-01,gym,1
user_0,2010-01-01,travel,3
user_0,2010-01-31,gym,1
user_0,2010-01-31,travel,2
user_0,2010-01-31,shop,2
user_0,2010-03-02,food,4
user_0,2010-03-02,gym,1
user_0,2010-03-02,travel,2
user_0,2010-03-02,shop,2
user_0,2010-04-01,food,2
user_0,2010-04-01,gym,1
user_0,2010-04-01,travel,1
user_0,2010-05-01,food,1
user_0,2010-05-01,gym,3
user_0,2010-05-01,travel,2
user_0,2010-05-01,shop,3
user_0,2010-05-31,food,3
user_0,2010-05-31,gym,2
user_0,2010-05-31,shop,2
user_0,2010-06-30,travel,4
user_0,2010-06-30,shop,1
user_0,2010-07-30,food,2
user_0,2010-07-30,gym,2
user_0,2010-07-30,travel,2
user_0,2010-07-30,shop,6
user_0,2010-08-29,food,2
user_0,2010-08-29,gym,4
user_0,2010-08-29,travel,2
user_0,2010-09-28,food,3
user_0,2010-09-28,gym,3
user_0,2010-09-28,travel,1
user_0,2010-09-28,shop,4
user_0,2010-10-28,food,2
user_0,2010-10-28,gym,1
user_0,2010-10-28,travel,1
user_0,2010-10-28,shop,1
user_0,2010-11-27,food,3
user_0,2010-11-27,gym,2
user_0,2010-11-27,travel,1
user_0,2010-11-27,shop,2
user_1,2010-01-01,food,2
user_1,2010-01-01,gym,3
user_1,2010-01-01,travel,3
user_1,2010-01-31,food,3
user_1,2010-01-31,gym,2
user_1,2010-01-31,shop,1
user_1,2010-03-02,food,1
user_1,2010-03-02,gym,2
user_1,2010-03-02,travel,1
user_1,2010-03-02,shop,2
user_1,2010-04-01,food,3
user_1,2010-04-01,gym,4
user_1,2010-04-01,travel,2
user_1,2010-04-01,shop,1
user_1,2010-05-01,food,1
user_1,2010-05-01,gym,3
user_1,2010-05-01,travel,3
user_1,2010-05-01,shop,3
user_1,2010-05-31,food,1
user_1,2010-05-31,gym,1
user_1,2010-05-31,travel,3
user_1,2010-05-31,shop,1
user_1,2010-06-30,food,2
user_1,2010-06-30,gym,2
user_1,2010-06-30,shop,1
user_1,2010-07-30,food,1
user_1,2010-07-30,travel,18
user_1,2010-07-30,shop,3
user_1,2010-08-29,gym,1
user_1,2010-08-29,travel,2
user_1,2010-08-29,shop,2
user_1,2010-09-28,gym,3
user_1,2010-09-28,travel,2
user_1,2010-09-28,shop,1
user_1,2010-10-28,food,2
user_1,2010-10-28,travel,2
user_1,2010-10-28,shop,2
user_1,2010-11-27,food,5
user_1,2010-11-27,gym,1
user_1,2010-11-27,travel,3
user_2,2010-01-01,travel,2
user_2,2010-01-01,shop,4
user_2,2010-01-31,food,1
user_2,2010-01-31,gym,2
user_2,2010-01-31,travel,2
user_2,2010-01-31,shop,2
user_2,2010-03-02,food,12
user_2,2010-03-02,gym,1
user_2,2010-03-02,travel,1
user_2,2010-03-02,shop,1
user_2,2010-04-01,food,1
user_2,2010-04-01,travel,2
user_2,2010-04-01,shop,2
user_2,2010-05-01,travel,1
user_2,2010-05-01,shop,1
user_2,2010-05-31,gym,2
user_2,2010-05-31,travel,2
user_2,2010-05-31,shop,2
user_2,2010-06-30,gym,2
user_2,2010-06-30,travel,1
user_2,2010-07-30,food,1
user_2,2010-07-30,gym,1
user_2,2010-07-30,travel,2
user_2,2010-07-30,shop,2
user_2,2010-08-29,food,1
user_2,2010-08-29,gym,1
user_2,2010-08-29,travel,1
user_2,2010-08-29,shop,1
user_2,2010-09-28,food,2
user_2,2010-09-28,shop,4
user_2,2010-10-28,food,1
user_2,2010-10-28,gym,1
user_2,2010-10-28,shop,2
user_2,2010-11-27,food,2
user_2,2010-11-27,gym,1
user_2,2010-11-27,travel,1
user_2,2010-11-27,shop,2
user_3,2010-01-01,food,1
user_3,2010-01-01,gym,4
user_3,2010-01-01,travel,2
user_3,2010-01-01,shop,2
user_3,2010-01-31,gym,3
user_3,2010-01-31,travel,1
user_3,2010-01-31,shop,5
user_3,2010-03-02,food,3
user_3,2010-03-02,gym,2
user_3,2010-03-02,travel,2
user_3,2010-03-02,shop,4
user_3,2010-04-01,food,2
user_3,2010-04-01,gym,1
user_3,2010-04-01,travel,2
user_3,2010-05-01,gym,1
user_3,2010-05-01,shop,2
user_3,2010-05-31,food,2
user_3,2010-05-31,gym,5
user_3,2010-05-31,shop,2
user_3,2010-06-30,food,1
user_3,2010-06-30,travel,1
user_3,2010-07-30,food,1
user_3,2010-07-30,gym,1
user_3,2010-07-30,travel,2
user_3,2010-07-30,shop,4
user_3,2010-08-29,food,4
user_3,2010-08-29,gym,3
user_3,2010-08-29,travel,1
user_3,2010-08-29,shop,3
user_3,2010-09-28,food,2
user_3,2010-09-28,travel,2
user_3,2010-09-28,shop,2
user_3,2010-10-28,gym,2
user_3,2010-10-28,travel,3
user_3,2010-11-27,food,14
user_3,2010-11-27,gym,2
user_3,2010-11-27,travel,1
user_3,2010-11-27,shop,3
user_4,2010-01-01,food,1
user_4,2010-01-01,gym,2
user_4,2010-01-01,travel,1
user_4,2010-01-01,shop,3
user_4,2010-01-31,food,12
user_4,2010-01-31,gym,1
user_4,2010-01-31,travel,1
user_4,2010-01-31,shop,1
user_4,2010-03-02,food,3
user_4,2010-03-02,travel,1
user_4,2010-03-02,shop,1
user_4,2010-04-01,food,1
user_4,2010-04-01,gym,2
user_4,2010-04-01,travel,3
user_4,2010-04-01,shop,2
user_4,2010-05-01,food,1
user_4,2010-05-01,gym,2
user_4,2010-05-01,travel,1
user_4,2010-05-01,shop,4
user_4,2010-05-31,food,1
user_4,2010-05-31,gym,4
user_4,2010-05-31,travel,3
user_4,2010-06-30,food,1
user_4,2010-06-30,gym,4
user_4,2010-06-30,travel,2
user_4,2010-07-30,food,2
user_4,2010-07-30,gym,3
user_4,2010-07-30,travel,1
user_4,2010-07-30,shop,4
user_4,2010-08-29,food,2
user_4,2010-08-29,shop,4
user_4,2010-10-28,food,1
user_4,2010-10-28,travel,3
user_4,2010-10-28,shop,3
user_4,2010-11-27,food,1
user_4,2010-11-27,gym,1
user_4,2010-11-27,travel,2
user_4,2010-11-27,shop,1
user_5,2010-01-01,travel,2
user_5,2010-01-01,shop,1
user_5,2010-01-31,gym,2
user_5,2010-01-31,travel,3
user_5,2010-01-31,shop,2
user_5,2010-03-02,food,1
user_5,2010-03-02,travel,1
user_5,2010-03-02,shop,2
user_5,2010-04-01,food,3
user_5,2010-04-01,gym,3
user_5,2010-05-01,gym,2
user_5,2010-05-01,shop,1
user_5,2010-05-31,food,2
user_5,2010-05-31,gym,2
user_5,2010-05-31,travel,3
user_5,2010-05-31,shop,2
user_5,2010-06-30,food,1
user_5,2010-06-30,travel,3
user_5,2010-06-30,shop,1
user_5,2010-07-30,gym,2
user_5,2010-07-30,travel,1
user_5,2010-08-29,food,3
user_5,2010-08-29,travel,2
user_5,2010-08-29,shop,1
user_5,2010-09-28,food,2
user_5,2010-09-28,travel,1
user_5,2010-10-28,food,4
user_5,2010-10-28,gym,2
user_5,2010-10-28,shop,1
user_5,2010-11-27,food,2
user_5,2010-11-27,gym,1
user_5,2010-11-27,travel,2
user_5,2010-11-27,shop,2
user_6,2010-01-01,food,1
user_6,2010-01-01,gym,1
user_6,2010-01-01,travel,1
