user_id,month,STIA,avg_sentiment,STSA,food,gym,shop,travel,influencer,influencer_STIA,food_shock,influencer_STIA_shocked
user_0,2010-01-01,-0.2733722475073028,0.0,0.9504567649258954,2.0,3.0,3.0,3.0,user_5,0.3768225459369253,-0.8282164325855752,-0.03728567035586228
user_0,2010-02-01,0.19963202697440963,0.12498000000000001,0.9344244324765466,0.0,0.0,0.0,0.0,user_14,0.059176940126955735,2.485412053608497,1.3018829669312042
user_0,2010-03-01,0.20830787506802007,0.159225,0.900790593422156,1.0,3.0,2.0,0.0,user_206,0.3658899390170849,0.5719939596010816,0.6518869188176257
user_0,2010-04-01,0.41842089957329176,0.026080000000000002,0.9629340083453584,1.0,1.0,1.0,1.0,user_223,0.1859850586313323,-1.007799718331549,-0.3179148005344422
user_0,2010-05-01,0.6067206881663803,0.09271111111111112,0.9594333129715177,2.0,0.0,3.0,1.0,user_30,0.10737582075534124,-0.2813001408268462,-0.033274249658081845
user_0,2010-06-01,0.11721355564376434,0.04146666666666668,0.9883311907788334,0.0,0.0,0.0,2.0,user_20,0.12357390071905838,1.3302896102167667,0.7887187058274417
user_0,2010-07-01,0.2814068375267538,0.0,0.9445114727209778,0.0,1.0,0.0,1.0,user_206,0.30819525299898165,0.8197443297087513,0.7180674178533573
user_0,2010-08-01,0.42175595814080746,0.20604999999999998,0.8421436976308716,1.0,3.0,3.0,0.0,user_200,0.20260356142062297,-0.04964635502082816,0.1777803839102089
user_0,2010-09-01,0.595546278278819,0.02194444444444445,0.971969382034632,3.0,1.0,1.0,0.0,user_5,0.17749204733434265,-0.7479390990277088,-0.19647750217951176
user_0,2010-10-01,-0.18347858354451052,0.0,0.9553865259044189,1.0,14.0,2.0,0.0,user_213,0.5854373800535247,0.44105239112043915,0.8059635756137443
user_0,2010-11-01,0.20009804295912403,0.0,0.9498291377340035,4.0,2.0,2.0,0.0,user_215,0.35284890012017833,-0.6153877728830405,0.045155013678658096
user_0,2010-12-01,-0.13891782438615508,0.0,0.9395283662810454,0.0,0.0,0.0,0.0,user_267,0.05850459647333783,-0.13017024536088062,-0.006580526207102477
user_1,2010-01-01,0.6602214507314352,0.11045,0.9390932350741046,14.0,4.0,3.0,3.0,user_30,0.13619150486815568,-0.8282164325855752,-0.2779167114246319
user_1,2010-02-01,0.11306148702852514,0.0086,0.9491955675234535,0.0,0.0,0.0,0.0,user_30,0.37450638867555686,2.485412053608497,1.6172124154798053
user_1,2010-03-01,0.2707252259949904,-0.10965000000000001,0.8303344065778441,2.0,3.0,1.0,3.0,user_279,0.03788720073451013,0.5719939596010816,0.3238841805350509
user_1,2010-04-01,0.4380213528295679,0.18025714285714287,0.8828888487974988,1.0,3.0,0.0,2.0,user_200,0.14574103625679824,-1.007799718331549,-0.35815882290897627
user_1,2010-05-01,0.31904478885242815,-0.0256,0.9222555759173712,5.0,1.0,4.0,2.0,user_218,0.27423825954186065,-0.2813001408268462,0.13358818912843756
user_1,2010-06-01,0.15682437100660274,0.14985,0.9032854758878333,1.0,1.0,0.0,1.0,user_20,0.12357390071905838,1.3302896102167667,0.7887187058274417
user_1,2010-07-01,0.1555232332136297,0.0,0.9445114727209778,3.0,2.0,1.0,1.0,user_279,0.2441888704841284,0.8197443297087513,0.6540610353385041
user_1,2010-08-01,0.5157147467489402,-0.08038,0.8714263023691284,4.0,1.0,3.0,1.0,user_124,0.5750765591168152,-0.04964635502082816,0.5502533816064011
user_1,2010-09-01,0.651189883026923,0.17494285714285715,0.8750322052669552,2.0,2.0,2.0,2.0,user_131,0.4412253471919285,-0.7479390990277088,0.0672557976780741
